file,line,specifier,binding,resolved_file,resolution
scripts/ci/check-deprecated-tables.mjs,34,node:fs,"{ readFileSync, readdirSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-deprecated-tables.mjs,35,node:path,"{ join, relative }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-discarded-read-then-write.mjs,47,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-discarded-read-then-write.mjs,48,node:fs,"{ existsSync, readFileSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-doctrine-freshness.mjs,50,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-doctrine-freshness.mjs,51,node:fs,"{ existsSync, readFileSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-embed-relationships.mjs,2,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/check-embed-relationships.mjs,62,node:fs,"{ readdirSync, readFileSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-embed-relationships.mjs,63,node:path,"{ join, extname }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-esm-require.mjs,23,node:fs,"{ readdirSync, readFileSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-esm-require.mjs,24,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-esm-require.mjs,25,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-horses-are-players.mjs,59,node:fs,"{ readdirSync, readFileSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-horses-are-players.mjs,60,node:path,"{ join, extname, relative }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-main-is-green.mjs,55,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-maybe-single.mjs,38,node:fs,"{ readdirSync, readFileSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-maybe-single.mjs,39,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-maybe-single.mjs,40,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-migrations-applied.mjs,36,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-migrations-applied.mjs,37,node:fs,"{ readFileSync, existsSync, readdirSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-migrations-applied.mjs,38,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-migrations-applied.mjs,39,./schema-manifest.mjs,"{ loadSchemaManifest, loadColumnsManifest }",scripts/ci/schema-manifest.mjs,Resolved Local File
scripts/ci/check-monitoring-drift.mjs,42,node:fs,"{ readFileSync, readdirSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-monitoring-drift.mjs,43,node:url,{ fileURLToPath },,External Or Requires Dynamic/Alias Review
scripts/ci/check-monitoring-drift.mjs,44,node:path,"{ dirname, resolve, basename }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-nav-title-case.mjs,49,node:fs,"{ readFileSync, writeFileSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-nav-title-case.mjs,50,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-nav-title-case.mjs,51,typescript,ts,,External Or Requires Dynamic/Alias Review
scripts/ci/check-new-migration-version-collisions.mjs,7,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-new-migration-version-collisions.mjs,8,node:fs,{ readdirSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-emoji.mjs,63,node:fs,"{ readdirSync, readFileSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-emoji.mjs,64,node:path,"{ join, extname }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-new-band-aids.mjs,48,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-new-band-aids.mjs,49,node:fs,"{ readFileSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-new-band-aids.mjs,50,node:path,"{ join, dirname }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-new-band-aids.mjs,51,node:url,"{ fileURLToPath, pathToFileURL }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-new-band-aids.mjs,52,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-orphaned-work.mjs,39,node:fs,"{ readFileSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-orphaned-work.mjs,40,node:child_process,{ execSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-orphaned-work.mjs,41,node:path,path,,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-skip-markers.mjs,27,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-vercel-deploy.mjs,38,node:fs,"{ readFileSync, readdirSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-no-vercel-deploy.mjs,39,node:path,"{ join, relative }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-open-prs-are-green.mjs,68,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-open-prs-are-green.mjs,69,node:url,{ pathToFileURL },,External Or Requires Dynamic/Alias Review
scripts/ci/check-painted-text-case.mjs,59,node:fs,"{ readdirSync, readFileSync, writeFileSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-painted-text-case.mjs,60,node:path,"{ join, extname, resolve }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-painted-text-case.mjs,61,typescript,ts,,External Or Requires Dynamic/Alias Review
scripts/ci/check-phantom-columns.mjs,27,node:fs,"{ readdirSync, readFileSync, statSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-phantom-columns.mjs,28,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-phantom-columns.mjs,29,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-phantom-columns.mjs,30,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/check-phantom-columns.mjs,31,./schema-manifest.mjs,{ loadColumnsManifest },scripts/ci/schema-manifest.mjs,Resolved Local File
scripts/ci/check-phantom-tables.mjs,33,node:fs,"{ readdirSync, readFileSync, statSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-phantom-tables.mjs,34,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-phantom-tables.mjs,35,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-phantom-tables.mjs,36,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/check-phantom-tables.mjs,37,./schema-manifest.mjs,{ loadSchemaManifest },scripts/ci/schema-manifest.mjs,Resolved Local File
scripts/ci/check-rake-bbj-collection-law.mjs,42,node:fs,"{ readFileSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-rake-bbj-collection-law.mjs,43,node:path,"{ resolve, dirname }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-rake-bbj-collection-law.mjs,44,node:url,{ fileURLToPath },,External Or Requires Dynamic/Alias Review
scripts/ci/check-rake-schedule-parity.mjs,44,node:fs,{ readFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-rake-schedule-parity.mjs,45,node:url,{ fileURLToPath },,External Or Requires Dynamic/Alias Review
scripts/ci/check-rake-schedule-parity.mjs,46,node:path,"{ dirname, resolve }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-rakeconfig-parity.mjs,31,node:fs,{ readFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-realtime-publication.mjs,52,node:fs,"{ readFileSync, readdirSync, existsSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-realtime-publication.mjs,53,node:path,"{ join, dirname }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-realtime-publication.mjs,54,node:url,{ fileURLToPath },,External Or Requires Dynamic/Alias Review
scripts/ci/check-realtime-publication.mjs,55,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-required-columns.mjs,62,node:fs,"{ readFileSync, readdirSync, statSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-required-columns.mjs,63,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-required-columns.mjs,64,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-required-columns.mjs,65,node:url,{ pathToFileURL },,External Or Requires Dynamic/Alias Review
scripts/ci/check-route-targets.mjs,37,node:fs,"{ readFileSync, readdirSync, statSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-route-targets.mjs,38,node:path,"{ join, relative }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-seat-law-parity.mjs,25,node:fs,{ readFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-seat-law-parity.mjs,26,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-seat-law-parity.mjs,27,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-secrets-expiry.mjs,30,node:fs,{ readFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-secrets-expiry.mjs,31,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-stranded-writers.mjs,27,node:fs,"{ readdirSync, readFileSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-stranded-writers.mjs,28,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/check-stranded-writers.mjs,29,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-telemetry-exposure.mjs,39,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/check-title-case.mjs,20,node:path,"{ extname, join, resolve }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-title-case.mjs,21,node:fs,"{ readdirSync, readFileSync, statSync, writeFileSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-title-case.mjs,22,typescript,ts,,External Or Requires Dynamic/Alias Review
scripts/ci/check-ui-text.mjs,43,node:fs,"{ readdirSync, readFileSync, writeFileSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-ui-text.mjs,44,node:path,"{ join, extname, resolve }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-unqualified-writes.mjs,63,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-unqualified-writes.mjs,64,node:fs,"{ readFileSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-unqualified-writes.mjs,65,node:url,{ pathToFileURL },,External Or Requires Dynamic/Alias Review
scripts/ci/check-unqualified-writes.mjs,66,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/detect-silent-revert.mjs,58,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/entry-chunk-delta.mjs,58,node:fs,"{ readFileSync, writeFileSync, existsSync, appendFileSync, readdirSync, mkdirSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/entry-chunk-delta.mjs,59,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/entry-chunk-delta.mjs,60,node:zlib,{ gzipSync },,External Or Requires Dynamic/Alias Review
scripts/ci/entry-chunk-delta.mjs,61,node:path,path,,External Or Requires Dynamic/Alias Review
scripts/ci/gen-schema-manifest.mjs,30,node:fs,"{ writeFileSync, readFileSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/gen-schema-manifest.mjs,31,node:path,"{ join, relative }",,External Or Requires Dynamic/Alias Review
scripts/ci/gen-schema-manifest.mjs,32,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/gen-schema-manifest.mjs,33,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/last-shipped-engine-deploy.mjs,47,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/last-shipped-engine-deploy.mjs,61,pg,dynamic import,,External Or Requires Dynamic/Alias Review
scripts/ci/pr-push.mjs,36,node:child_process,{ execSync },,External Or Requires Dynamic/Alias Review
scripts/ci/pr-status.mjs,67,node:child_process,{ execSync },,External Or Requires Dynamic/Alias Review
scripts/ci/pr-status.mjs,68,node:fs,"{ existsSync, readFileSync, writeFileSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/pr-status.mjs,69,node:os,{ tmpdir },,External Or Requires Dynamic/Alias Review
scripts/ci/probes/chip-journal-atomicity/postgres-runtime/query.mjs,1,pg,pg,,External Or Requires Dynamic/Alias Review
scripts/ci/probes/chip-journal-atomicity/test_transaction_concurrency.mjs,1,./postgres-runtime/node_modules/pg/lib/index.js,pg,,External Or Requires Dynamic/Alias Review
scripts/ci/probes/chip-journal-atomicity/test_transaction_concurrency.mjs,2,node:assert/strict,assert,,External Or Requires Dynamic/Alias Review
scripts/ci/probes/chip-journal-atomicity/test_transaction_concurrency.mjs,3,node:fs,{ readFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/production-e2e-account.mjs,3,node:crypto,{ randomUUID },,External Or Requires Dynamic/Alias Review
scripts/ci/production-e2e-account.mjs,4,node:fs,"{ appendFileSync, existsSync, readFileSync, unlinkSync, writeFileSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/production-e2e-account.mjs,5,node:path,"{ join, resolve }",,External Or Requires Dynamic/Alias Review
scripts/ci/production-e2e-account.mjs,6,node:url,{ pathToFileURL },,External Or Requires Dynamic/Alias Review
scripts/ci/production-e2e-account.mjs,7,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/prune-schema-fragments.mjs,23,node:fs,"{ existsSync, readFileSync, rmSync, writeFileSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/prune-schema-fragments.mjs,24,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/prune-schema-fragments.mjs,25,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/prune-schema-fragments.mjs,26,./schema-manifest.mjs,"{ loadColumnsManifest, readFragments, FRAGMENT_DIR, BASE_SCHEMA }",scripts/ci/schema-manifest.mjs,Resolved Local File
scripts/ci/record-engine-deploy-attempt.mjs,18,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/record-engine-deploy-attempt.mjs,37,pg,dynamic import,,External Or Requires Dynamic/Alias Review
scripts/ci/record-engine-deploy-start.mjs,6,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/record-engine-deploy-start.mjs,24,pg,dynamic import,,External Or Requires Dynamic/Alias Review
scripts/ci/remove-world-hub-bypass.mjs,60,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/report-orphan-modules.mjs,37,node:fs,"{ readdirSync, readFileSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/report-orphan-modules.mjs,38,node:path,"{ dirname, join, relative, resolve }",,External Or Requires Dynamic/Alias Review
scripts/ci/report-orphan-modules.mjs,39,node:url,{ fileURLToPath },,External Or Requires Dynamic/Alias Review
scripts/ci/report-source-grep-tests.mjs,50,node:fs,"{ readFileSync, readdirSync, realpathSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/report-source-grep-tests.mjs,51,node:path,"{ dirname, join, relative }",,External Or Requires Dynamic/Alias Review
scripts/ci/report-source-grep-tests.mjs,52,node:url,{ fileURLToPath },,External Or Requires Dynamic/Alias Review
scripts/ci/route-performance.mjs,1,node:child_process,{ spawn },,External Or Requires Dynamic/Alias Review
scripts/ci/route-performance.mjs,2,'@playwright/test,{ chromium },,External Or Requires Dynamic/Alias Review
scripts/ci/route-performance.mjs,3,./e2e-port.mjs,{ portFor },scripts/ci/e2e-port.mjs,Resolved Local File
scripts/ci/schema-manifest.mjs,35,node:fs,"{ existsSync, readFileSync, readdirSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/schema-manifest.mjs,36,node:path,{ join },,External Or Requires Dynamic/Alias Review
scripts/ci/triage-open-prs.mjs,97,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/triage-open-prs.mjs,307,node:fs,dynamic import,,External Or Requires Dynamic/Alias Review
scripts/dev-freshness-check.mjs,39,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/dev/build-throwable-artwork.mjs,1,node:fs,fs,,External Or Requires Dynamic/Alias Review
scripts/dev/build-throwable-artwork.mjs,2,node:path,path,,External Or Requires Dynamic/Alias Review
scripts/dev/build-throwable-artwork.mjs,3,node:crypto,{ createHash },,External Or Requires Dynamic/Alias Review
scripts/dev/build-throwable-stills.mjs,1,node:fs,fs,,External Or Requires Dynamic/Alias Review
scripts/dev/build-throwable-stills.mjs,2,node:path,path,,External Or Requires Dynamic/Alias Review
scripts/dev/build-throwable-stills.mjs,3,node:crypto,crypto,,External Or Requires Dynamic/Alias Review
scripts/dev/build-throwable-stills.mjs,4,sharp,sharp,,External Or Requires Dynamic/Alias Review
scripts/dev/club-entry-preview.tsx,1,react,React,,External Or Requires Dynamic/Alias Review
scripts/dev/club-entry-preview.tsx,2,react-dom/client,{ createRoot },,External Or Requires Dynamic/Alias Review
scripts/dev/club-entry-preview.tsx,3,../../src/components/home/ClubEntryActionBar,ClubEntryActionBar,src/components/home/ClubEntryActionBar.tsx,Resolved Local File
scripts/dev/encode-throwable-artwork.mjs,1,node:fs,fs,,External Or Requires Dynamic/Alias Review
scripts/dev/encode-throwable-artwork.mjs,2,node:path,path,,External Or Requires Dynamic/Alias Review
scripts/dev/encode-throwable-artwork.mjs,3,sharp,sharp,,External Or Requires Dynamic/Alias Review
