file,line,kind,target,dynamic,file_kind,status
scripts/fund-chip-hierarchy.mjs,77,RPC,log_wallet_transaction,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,111,Table Candidate,profiles,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,124,Table Candidate,profiles,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,139,Table Candidate,profiles,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,153,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,164,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,181,Table Candidate,club_members,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,189,Table Candidate,club_members,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,194,Table Candidate,club_members,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,202,Table Candidate,agents,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,231,Table Candidate,agents,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,255,Table Candidate,club_members,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,279,Table Candidate,agents,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,302,Table Candidate,club_members,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,321,Table Candidate,club_members,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,339,Table Candidate,club_members,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
